"id","prediction"
3,3
6,1
9,1
11,4
12,3
14,4
15,4
16,4
18,4
19,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
29,4
30,4
33,4
34,4
36,4
37,4
38,4
39,2
40,3
41,4
42,1
43,4
44,2
45,3
47,4
48,4
49,4
50,4
51,4
53,4
55,4
57,3
60,4
61,4
62,3
67,4
68,4
69,3
70,4
75,4
76,4
77,4
78,4
79,3
81,4
82,4
84,4
85,4
86,4
87,4
92,4
93,4
95,4
96,4
97,4
99,4
100,4
101,4
102,4
104,4
106,4
107,4
111,3
114,4
116,4
117,3
118,1
120,4
121,4
123,4
125,4
127,4
128,4
129,4
130,3
131,4
132,3
133,3
134,4
137,4
138,4
139,4
140,4
141,4
142,4
144,4
146,2
147,4
148,4
149,4
150,4
152,4
153,4
154,4
155,2
156,4
157,4
158,2
159,4
160,4
162,3
163,4
165,4
166,4
167,4
168,4
169,4
170,4
174,4
175,4
177,4
178,4
179,1
180,4
182,4
184,4
185,4
186,4
187,4
188,4
190,4
191,3
192,4
193,4
196,4
198,4
202,4
203,4
205,4
206,4
207,4
208,4
209,2
210,4
212,4
213,4
216,3
219,4
222,4
223,4
224,4
225,4
226,4
227,4
229,4
231,3
233,3
234,4
235,4
236,4
237,4
238,4
239,4
240,4
242,4
244,4
246,4
250,3
251,4
254,4
255,4
256,4
257,4
258,2
259,4
260,4
261,4
262,2
263,2
264,4
267,4
270,3
272,4
273,4
274,4
277,3
278,4
280,4
282,2
283,4
284,4
285,4
286,2
287,4
288,4
291,2
292,4
293,4
294,3
297,4
298,4
301,4
303,3
304,4
306,4
308,2
309,4
310,4
311,4
312,2
313,4
314,4
315,2
316,4
317,4
318,4
319,4
320,1
324,4
325,4
326,4
327,2
328,1
329,3
330,4
331,3
332,4
333,1
335,2
337,4
340,4
342,4
343,3
345,3
347,3
349,2
350,3
351,3
352,4
353,2
354,2
355,2
356,4
357,4
359,4
360,1
361,4
362,4
363,3
365,4
368,2
369,4
370,4
373,4
375,4
376,4
377,4
378,4
379,4
380,4
382,4
383,4
384,1
385,3
386,4
387,3
390,4
391,4
394,4
395,4
397,4
400,4
401,4
402,4
403,4
404,3
405,4
407,4
408,4
409,4
410,4
411,4
413,2
416,4
417,3
419,3
420,4
421,1
423,4
426,4
427,4
429,1
430,4
431,4
432,4
433,4
434,4
436,4
439,1
441,4
443,4
445,4
446,4
447,4
448,3
450,4
452,4
453,4
454,4
455,4
456,3
457,4
458,4
462,4
463,3
464,4
465,3
466,4
467,4
469,4
470,3
471,4
474,3
475,4
477,4
478,4
479,2
480,4
481,4
482,4
483,4
484,4
485,4
486,4
488,4
489,4
490,3
491,2
492,4
493,4
494,4
496,2
497,4
498,4
500,4
501,4
505,4
506,4
508,3
509,4
510,4
511,4
514,4
515,4
516,4
517,3
519,4
520,4
521,3
523,4
525,4
526,4
527,4
528,4
529,3
531,4
532,4
533,4
534,4
536,4
537,4
538,3
542,1
543,4
545,4
546,1
547,4
549,4
550,4
553,4
554,4
555,2
557,4
559,4
560,4
561,4
562,3
565,3
566,4
568,4
569,3
570,3
571,4
572,4
575,4
576,3
579,2
580,4
582,4
583,4
585,4
586,3
589,4
590,4
591,4
593,4
594,2
595,4
597,4
598,4
599,4
600,4
601,4
602,4
604,2
606,4
608,4
609,4
610,4
612,3
614,2
615,1
616,1
617,4
618,2
619,4
620,2
621,4
624,4
627,4
628,4
629,4
630,4
634,4
637,4
638,3
639,4
640,4
641,4
642,4
643,4
644,4
645,3
646,2
648,3
649,4
650,4
651,4
652,4
654,4
655,3
656,3
658,4
659,4
660,3
661,4
666,4
667,4
668,2
669,4
670,4
671,4
675,4
677,4
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,4
690,4
692,3
693,3
694,4
696,4
699,2
700,4
701,4
702,3
704,4
706,4
707,1
708,4
709,4
712,4
713,4
714,4
715,4
716,4
717,4
718,4
719,4
720,2
721,4
722,3
724,4
727,4
728,4
729,4
731,4
733,4
734,4
735,2
736,4
737,4
738,3
739,4
741,4
742,4
744,4
745,4
746,2
748,4
749,4
752,4
753,3
754,3
756,4
757,4
758,4
759,4
760,4
761,4
764,4
765,4
768,2
769,4
770,2
772,4
774,3
775,4
776,4
777,4
778,4
781,4
782,3
783,4
785,4
786,4
788,3
789,2
790,2
791,4
792,4
794,4
795,4
796,4
797,4
798,2
800,4
801,3
802,4
803,4
804,3
805,4
806,4
807,3
808,4
809,3
812,4
813,4
814,3
815,3
817,4
819,4
820,4
822,3
825,4
826,4
827,4
828,4
830,2
832,4
833,4
834,4
836,4
837,3
839,1
841,4
843,4
846,4
847,4
848,4
849,4
850,4
851,3
852,4
853,4
855,4
858,4
859,4
861,4
862,4
864,4
866,4
868,4
870,4
872,4
873,4
874,4
875,3
877,4
879,4
880,4
882,2
883,4
884,4
885,4
888,4
889,4
891,4
893,4
894,4
895,4
896,4
897,4
899,4
901,4
903,4
904,2
905,2
909,4
910,4
911,4
912,2
914,4
917,4
918,2
919,4
920,4
921,4
922,4
926,4
927,4
929,4
931,3
933,3
934,3
936,1
937,4
938,4
939,4
