"id","prediction"
3,"4"
6,"4"
9,"4"
11,"4"
12,"4"
14,"4"
15,"4"
16,"4"
18,"4"
19,"4"
21,"4"
22,"4"
23,"4"
24,"3"
25,"2"
26,"4"
27,"4"
29,"3"
30,"1"
33,"4"
34,"4"
36,"4"
37,"4"
38,"4"
39,"4"
40,"4"
41,"4"
42,"4"
43,"4"
44,"4"
45,"2"
47,"4"
48,"4"
49,"2"
50,"4"
51,"4"
53,"3"
55,"4"
57,"4"
60,"2"
61,"4"
62,"3"
67,"4"
68,"1"
69,"3"
70,"3"
75,"4"
76,"4"
77,"4"
78,"4"
79,"4"
81,"4"
82,"4"
84,"4"
85,"4"
86,"4"
87,"4"
92,"4"
93,"2"
95,"4"
96,"3"
97,"4"
99,"3"
100,"2"
101,"4"
102,"4"
104,"4"
106,"4"
107,"4"
111,"1"
114,"4"
116,"4"
117,"2"
118,"3"
120,"4"
121,"2"
123,"4"
125,"3"
127,"4"
128,"3"
129,"4"
130,"4"
131,"4"
132,"3"
133,"2"
134,"1"
137,"1"
138,"4"
139,"4"
140,"4"
141,"4"
142,"4"
144,"2"
146,"1"
147,"4"
148,"4"
149,"4"
150,"4"
152,"3"
153,"1"
154,"4"
155,"4"
156,"3"
157,"4"
158,"2"
159,"4"
160,"4"
162,"4"
163,"4"
165,"4"
166,"4"
167,"4"
168,"4"
169,"4"
170,"4"
174,"4"
175,"2"
177,"4"
178,"1"
179,"4"
180,"4"
182,"4"
184,"1"
185,"2"
186,"4"
187,"4"
188,"3"
190,"4"
191,"3"
192,"4"
193,"4"
196,"1"
198,"4"
202,"4"
203,"3"
205,"4"
206,"4"
207,"4"
208,"3"
209,"1"
210,"4"
212,"4"
213,"4"
216,"2"
219,"4"
222,"3"
223,"4"
224,"4"
225,"4"
226,"4"
227,"4"
229,"1"
231,"4"
233,"4"
234,"4"
235,"4"
236,"3"
237,"4"
238,"4"
239,"3"
240,"4"
242,"1"
244,"4"
246,"1"
250,"4"
251,"4"
254,"4"
255,"4"
256,"4"
257,"4"
258,"4"
259,"4"
260,"4"
261,"3"
262,"4"
263,"4"
264,"2"
267,"4"
270,"1"
272,"4"
273,"3"
274,"3"
277,"3"
278,"4"
280,"3"
282,"4"
283,"4"
284,"4"
285,"4"
286,"4"
287,"4"
288,"4"
291,"4"
292,"1"
293,"4"
294,"3"
297,"4"
298,"2"
301,"2"
303,"4"
304,"4"
306,"4"
308,"4"
309,"4"
310,"1"
311,"3"
312,"4"
313,"4"
314,"4"
315,"3"
316,"4"
317,"4"
318,"4"
319,"4"
320,"4"
324,"4"
325,"4"
326,"4"
327,"4"
328,"4"
329,"4"
330,"1"
331,"4"
332,"4"
333,"3"
335,"2"
337,"3"
340,"3"
342,"3"
343,"4"
345,"4"
347,"4"
349,"4"
350,"3"
351,"4"
352,"2"
353,"4"
354,"4"
355,"4"
356,"2"
357,"4"
359,"4"
360,"4"
361,"3"
362,"4"
363,"4"
365,"1"
368,"4"
369,"3"
370,"4"
373,"1"
375,"4"
376,"4"
377,"3"
378,"4"
379,"4"
380,"4"
382,"4"
383,"3"
384,"4"
385,"3"
386,"4"
387,"4"
390,"4"
391,"4"
394,"4"
395,"2"
397,"2"
400,"1"
401,"4"
402,"4"
403,"4"
404,"3"
405,"4"
407,"4"
408,"4"
409,"1"
410,"1"
411,"4"
413,"3"
416,"4"
417,"4"
419,"4"
420,"4"
421,"4"
423,"4"
426,"3"
427,"4"
429,"2"
430,"4"
431,"4"
432,"4"
433,"4"
434,"4"
436,"4"
439,"4"
441,"3"
443,"4"
445,"4"
446,"4"
447,"1"
448,"4"
450,"1"
452,"4"
453,"4"
454,"4"
455,"4"
456,"4"
457,"4"
458,"4"
462,"2"
463,"4"
464,"4"
465,"3"
466,"3"
467,"4"
469,"4"
470,"4"
471,"4"
474,"4"
475,"4"
477,"4"
478,"2"
479,"4"
480,"3"
481,"4"
482,"4"
483,"3"
484,"4"
485,"4"
486,"1"
488,"4"
489,"3"
490,"4"
491,"4"
492,"4"
493,"2"
494,"4"
496,"3"
497,"4"
498,"4"
500,"4"
501,"2"
505,"3"
506,"4"
508,"4"
509,"4"
510,"4"
511,"2"
514,"1"
515,"1"
516,"4"
517,"4"
519,"4"
520,"4"
521,"3"
523,"3"
525,"3"
526,"3"
527,"4"
528,"4"
529,"4"
531,"3"
532,"4"
533,"4"
534,"3"
536,"4"
537,"4"
538,"4"
542,"4"
543,"4"
545,"4"
546,"4"
547,"3"
549,"4"
550,"4"
553,"4"
554,"2"
555,"4"
557,"3"
559,"4"
560,"4"
561,"4"
562,"1"
565,"1"
566,"4"
568,"4"
569,"4"
570,"4"
571,"4"
572,"3"
575,"4"
576,"4"
579,"4"
580,"4"
582,"4"
583,"2"
585,"4"
586,"4"
589,"4"
590,"2"
591,"2"
593,"4"
594,"4"
595,"4"
597,"4"
598,"4"
599,"4"
600,"4"
601,"4"
602,"4"
604,"4"
606,"4"
608,"3"
609,"4"
610,"4"
612,"4"
614,"4"
615,"4"
616,"3"
617,"1"
618,"4"
619,"4"
620,"4"
621,"4"
624,"4"
627,"3"
628,"2"
629,"4"
630,"4"
634,"4"
637,"4"
638,"4"
639,"2"
640,"4"
641,"4"
642,"3"
643,"4"
644,"4"
645,"4"
646,"2"
648,"4"
649,"4"
650,"3"
651,"4"
652,"4"
654,"4"
655,"2"
656,"4"
658,"4"
659,"4"
660,"1"
661,"4"
666,"4"
667,"4"
668,"4"
669,"4"
670,"4"
671,"4"
675,"4"
677,"4"
679,"4"
680,"4"
681,"4"
682,"3"
683,"4"
684,"4"
685,"4"
686,"2"
690,"4"
692,"3"
693,"4"
694,"4"
696,"4"
699,"3"
700,"4"
701,"4"
702,"4"
704,"4"
706,"1"
707,"4"
708,"3"
709,"4"
712,"2"
713,"2"
714,"4"
715,"4"
716,"4"
717,"3"
718,"3"
719,"4"
720,"4"
721,"4"
722,"4"
724,"4"
727,"4"
728,"4"
729,"4"
731,"1"
733,"4"
734,"4"
735,"4"
736,"1"
737,"4"
738,"4"
739,"2"
741,"3"
742,"3"
744,"3"
745,"4"
746,"4"
748,"4"
749,"4"
752,"4"
753,"3"
754,"4"
756,"2"
757,"4"
758,"4"
759,"3"
760,"4"
761,"3"
764,"4"
765,"4"
768,"1"
769,"4"
770,"4"
772,"4"
774,"4"
775,"3"
776,"2"
777,"3"
778,"1"
781,"4"
782,"4"
783,"4"
785,"4"
786,"4"
788,"4"
789,"4"
790,"4"
791,"4"
792,"4"
794,"4"
795,"4"
796,"1"
797,"1"
798,"2"
800,"4"
801,"3"
802,"4"
803,"2"
804,"4"
805,"4"
806,"4"
807,"4"
808,"4"
809,"4"
812,"4"
813,"2"
814,"4"
815,"4"
817,"4"
819,"4"
820,"4"
822,"4"
825,"3"
826,"4"
827,"4"
828,"4"
830,"2"
832,"4"
833,"4"
834,"4"
836,"4"
837,"3"
839,"4"
841,"2"
843,"4"
846,"4"
847,"4"
848,"4"
849,"3"
850,"4"
851,"4"
852,"4"
853,"4"
855,"4"
858,"3"
859,"4"
861,"4"
862,"4"
864,"4"
866,"1"
868,"4"
870,"1"
872,"4"
873,"4"
874,"4"
875,"4"
877,"2"
879,"2"
880,"4"
882,"4"
883,"4"
884,"4"
885,"4"
888,"4"
889,"4"
891,"4"
893,"4"
894,"4"
895,"4"
896,"4"
897,"4"
899,"4"
901,"4"
903,"4"
904,"4"
905,"4"
909,"1"
910,"4"
911,"4"
912,"3"
914,"4"
917,"4"
918,"3"
919,"4"
920,"4"
921,"4"
922,"4"
926,"3"
927,"3"
929,"3"
931,"4"
933,"1"
934,"2"
936,"4"
937,"4"
938,"4"
939,"4"
940,"4"
941,"4"
942,"3"
943,"4"
945,"4"
946,"4"
948,"4"
950,"2"
952,"4"
953,"1"
955,"4"
956,"4"
959,"4"
960,"4"
961,"4"
962,"4"
964,"4"
967,"3"
968,"4"
969,"4"
971,"3"
972,"4"
974,"4"
975,"2"
976,"3"
978,"1"
980,"3"
981,"4"
982,"4"
983,"4"
984,"4"
985,"3"
986,"4"
987,"2"
988,"2"
990,"4"
991,"4"
992,"4"
994,"2"
995,"3"
996,"4"
999,"3"
1000,"4"
1001,"2"
1002,"4"
1003,"4"
1005,"4"
1006,"4"
1007,"4"
1009,"4"
1010,"4"
1012,"4"
1013,"4"
1014,"2"
1015,"2"
1016,"1"
1018,"4"
1019,"3"
1020,"4"
1021,"4"
1022,"4"
1023,"4"
1024,"4"
1027,"4"
1028,"3"
1030,"4"
1031,"4"
1032,"4"
1033,"1"
1034,"1"
1036,"4"
1037,"4"
1038,"4"
1039,"4"
1040,"4"
1042,"4"
1043,"4"
1045,"4"
1046,"4"
1049,"4"
1050,"4"
1051,"2"
1052,"4"
1054,"4"
1055,"3"
1056,"4"
1058,"1"
1059,"4"
1062,"4"
1064,"4"
1065,"4"
1066,"4"
1067,"4"
1068,"4"
1069,"2"
1071,"4"
1074,"4"
1076,"4"
1077,"4"
1079,"4"
1080,"4"
1081,"4"
1082,"4"
1085,"3"
1086,"3"
1087,"4"
1089,"4"
1090,"4"
1091,"1"
1092,"4"
1093,"4"
1094,"4"
1095,"2"
1097,"4"
1098,"3"
1099,"4"
1100,"4"
1102,"4"
1103,"4"
1104,"4"
1106,"4"
1107,"4"
1108,"2"
1109,"2"
1110,"4"
